SKU,Producto,Marca_o_Detalle,Precio_Normal,Precio_Cyber,Descuento,Enlace_Imagen,Estado_WooCommerce
2899076,LLAVE LAVAMANO MOD3105-A,31.8,$50.300,$40.240,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/12.png,Encontrado
2899044,LLAVE MONOMANDO 11970,35.33,$55.800,$44.640,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/11.png,Encontrado
2899070,LLAVE LAVAPLATOS MOD 11889,56.53,$89.400,$71.520,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/17.png,Encontrado
2899062,LLAVE LAVAPLATO MOD 12027,75.959999999999994,$120.100,$96.080,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/18.png,Encontrado
2899037,LLAVE LAVAPLATO MOD A417,63.59,$100.500,$80.400,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/21.png,Encontrado
2899036,LLAVE LAVAPLATO MOD 12033,79.489999999999995,$125.600,$100.480,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/22.png,Encontrado
2899063,PROT. LASUR NOGAL SAT 750 ML,8.89,$17.100,$13.680,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/16.png,Encontrado
3099213,PISO FLOTANTE TM612,26.4,$39.900,$35.910,-10%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/wild_sandal.jpg,Encontrado
3099223,PISO FLOTANTE XSM89,26.4,$39.900,$35.910,-10%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/acacia_coffee-e1714223868437.jpg,Encontrado
3099425,PISO FLOTANTE ACACIA,30.25,$39.900,$35.910,-10%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/acacia_natural-e1714223779119.jpg,Encontrado
3099142,PISO FLOTANTE LEGACY OAK,30.25,$39.900,$35.910,-10%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/legacy_oak-e1714224457167.jpg,Encontrado
3099100,PISO FLOTANTE OAK COUNTRY,30.25,$39.900,$35.910,-10%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/oak_country-e1714224396741.jpg,Encontrado
3099225,PISO FLOTANTE BIRMANIA,35.04,$45.500,$40.950,-10%,,Encontrado sin Imagen
